	Length	Tokens	Unique Tokens	Avg Token Length	Entities	Unique Entities	Avg Entity Length	Density	B-COM	I-COM	B-BRAND	I-BRAND	B-DEV	I-DEV	O
0	36	['patches', 'were', 'applied', 'for', '2d', 'to', 'the', 'upper', 'back', ',', 'using', 'finn', 'chambers', '$UNK$', '(', '$UNK$', 'oy', ',', 'helsinki', ',', 'finland', ')', 'and', '$UNK$', '$UNK$', 'tape', '(', '$UNK$', 'plaster', 'a/s', ',', 'oslo', ',', 'norway', ')', '.']	7	3.6944444444444446	['patches', 'were', 'applied', 'for', '2d', 'to', 'the', 'upper', 'back', ',', 'using', 'finn', 'chambers', '$UNK$', '(', '$UNK$', 'oy', ',', 'helsinki', ',', 'finland', ')', 'and', '$UNK$', '$UNK$', 'tape', '(', '$UNK$', 'plaster', 'a/s', ',', 'oslo', ',', 'norway', ')', '.']	7	3.6944444444444446	100.0	0	3	1	2	0	0	25
1	28	['patient', 'dosimetry', 'is', 'performed', 'using', 'external', '$UNK$', '(', '$UNK$', 'electronics', 'ab', ',', '$UNK$', ',', 'sweden', ')', 'and', 'radiochromic', 'films', '(', 'gafchromic', '$UNK$', ',', 'international', 'specialty', 'products', ')', '.']	5	5.25	['patient', 'dosimetry', 'is', 'performed', 'using', 'external', '$UNK$', '(', '$UNK$', 'electronics', 'ab', ',', '$UNK$', ',', 'sweden', ')', 'and', 'radiochromic', '(', 'gafchromic', '$UNK$', ',', 'international', 'specialty', 'products', ')', '.']	4	5.2592592592592595	96.42857142857143	1	4	1	0	1	1	16
2	70	"['the', 'amplifications', 'of', 'the', 'samples', 'were', 'carried', 'out', 'in', 'a', 'final', 'volume', 'of', '$NUM$', 'l', 'using', '$UNK$', 'probe', 'rt-pcr', 'kit', '(', '$UNK$', 'gmbh', ',', '$UNK$', ',', 'germany', ')', 'according', 'to', 'manufacturer', ""'s"", 'specifications', 'with', 'primers', 'from', '$UNK$', 'biotech', '(', '$UNK$', '$UNK$', ',', 'czech', 'republic', ')', 'and', 'specific', 'taqman', 'probes', 'from', 'the', 'universal', 'probe', 'library', '(', 'roche', 'diagnostics', 'gmbh', ',', '$UNK$', ',', 'germany', ')', 'that', 'are', 'listed', 'in', 'table', '$NUM$', '.']"	5	4.557142857142857	"['the', 'amplifications', 'of', 'the', 'samples', 'were', 'carried', 'out', 'in', 'a', 'final', 'volume', 'of', '$NUM$', 'l', 'using', '$UNK$', 'probe', 'rt-pcr', 'kit', '(', '$UNK$', 'gmbh', ',', '$UNK$', ',', 'germany', ')', 'according', 'to', 'manufacturer', ""'s"", 'specifications', 'with', 'primers', 'from', '$UNK$', 'biotech', '(', '$UNK$', '$UNK$', ',', 'czech', 'republic', ')', 'and', 'specific', 'taqman', 'probes', 'from', 'the', 'universal', 'probe', 'library', '(', 'roche', 'diagnostics', 'gmbh', ',', '$UNK$', ',', 'germany', ')', 'that', 'are', 'listed', 'in', 'table', '$NUM$', '.']"	5	4.557142857142857	100.0	2	0	0	0	0	0	59
3	45	['fungal', 'genomic', 'dna', 'and', 'lambda', 'dna', 'was', 'transferred', 'to', '$UNK$', '$UNK$', '+', 'filters', '(', 'ge', 'healthcare', 'limited', ',', '$UNK$', ',', 'germany', ')', 'after', 'digestion', 'with', 'restriction', 'enzymes', 'and', 'size', 'separation', 'on', 'a', '$NUM$', '%', 'agarose', 'gel', 'according', 'to', '$UNK$', 'and', 'associates', '(', '$NUM$', ')', '.']	4	4.5777777777777775	['fungal', 'genomic', 'dna', 'and', 'lambda', 'dna', 'was', 'transferred', 'to', '$UNK$', '$UNK$', '+', 'filters', '(', 'ge', 'healthcare', 'limited', ',', '$UNK$', ',', 'germany', ')', 'after', 'digestion', 'with', 'restriction', 'enzymes', 'and', 'size', 'separation', 'on', 'a', '$NUM$', '%', 'agarose', 'gel', 'according', 'to', '$UNK$', 'and', 'associates', '(', '$NUM$', ')', '.']	4	4.5777777777777775	100.0	1	2	0	2	0	0	34
4	30	['pre-and', 'post-surgery', 'care', 'one', 'hour', 'before', 'operation', ',', 'buprenorphine', '(', '0.05', 'mg/kg', ';', 'rb', 'pharmaceuticals', 'ltd', ',', '$UNK$', ',', 'uk', ')', 'was', 'administrated', 'subcutaneously', '(', 's/c', ')', 'as', 'analgesic', '.']	9	4.9	['pre-and', 'post-surgery', 'care', 'one', 'hour', 'before', 'operation', ',', 'buprenorphine', '(', '0.05', 'mg/kg', ';', 'rb', 'pharmaceuticals', 'ltd', ',', '$UNK$', ',', 'uk', ')', 'was', 'administrated', 'subcutaneously', '(', 's/c', ')', 'as', 'analgesic', '.']	9	4.9	100.0	1	2	0	0	0	0	26
5	57	['heart', 'rate', ',', 'as', 'an', 'indicator', 'for', 'autonomic', 'stress', 'responsiveness', ',', 'was', 'measured', 'using', 'a', 'portable', 'heart', 'rate', 'monitoring', 'device', '(', 'polar', '$UNK$', ',', 'polar', 'electro', 'oy', ',', '$UNK$', ',', 'finland', ')', ',', 'with', 'aggregated', 'beat-to-beat', 'analyses', 'in', '1-min', 'intervals', '(', 'beats/min', ')', 'from', '$UNK$', 'to', '+5', 'min', 'relative', 'to', 'the', 'stressor', '(', '$NUM$', 'units', ')', '.']	10	4.543859649122807	['heart', 'rate', ',', 'as', 'an', 'indicator', 'for', 'autonomic', 'stress', 'responsiveness', ',', 'was', 'measured', 'using', 'a', 'portable', 'heart', 'rate', 'monitoring', 'device', '(', 'polar', '$UNK$', ',', 'polar', 'electro', 'oy', ',', '$UNK$', ',', 'finland', ')', ',', 'with', 'aggregated', 'beat-to-beat', 'analyses', 'in', '1-min', 'intervals', '(', 'beats/min', ')', 'from', '$UNK$', 'to', '+5', 'min', 'relative', 'to', 'the', 'stressor', '(', '$NUM$', 'units', ')', '.']	10	4.543859649122807	100.0	0	0	1	0	0	0	52
6	18	['at', '$NUM$', '$UNK$', 'reactivity', 'of', 'the', 'polyclonal', 'phage', 'was', 'observed', 'selectively', 'for', '$UNK$', 'but', 'not', 'for', 'bsa', '.']	3	4.722222222222222	['at', '$NUM$', '$UNK$', 'reactivity', 'of', 'the', 'polyclonal', 'phage', 'was', 'observed', 'selectively', 'for', '$UNK$', 'but', 'not', 'for', 'bsa', '.']	3	4.722222222222222	100.0	0	0	0	0	0	0	15
7	11	['the', 'absolute', 'accuracy', 'of', 'stage', 'and', 'encoder', 'is', '$NUM$', 'µm', '.']	2	4.181818181818182	['the', 'absolute', 'accuracy', 'of', 'stage', 'and', 'encoder', 'is', '$NUM$', 'µm', '.']	2	4.181818181818182	100.0	0	0	0	0	0	0	10
8	32	['the', 'cross-sectional', 'images', 'obtained', 'by', '$UNK$', 'were', 'analyzed', 'using', '$UNK$', 'software', '(', '$UNK$', 'oy', ',', '$UNK$', ',', 'finland', ')', ',', 'which', 'automatically', 'identifies', 'cortical', 'and', 'trabecular', 'bone', 'and', 'assesses', 'its', 'density', '.']	6	5.25	['the', 'cross-sectional', 'images', 'obtained', 'by', '$UNK$', 'were', 'analyzed', 'using', '$UNK$', 'software', '(', '$UNK$', 'oy', ',', '$UNK$', ',', 'finland', ')', ',', 'which', 'automatically', 'identifies', 'cortical', 'and', 'trabecular', 'bone', 'and', 'assesses', 'its', 'density', '.']	6	5.25	100.0	0	1	0	1	0	0	26
9	27	"['ne', 'tissue', 'content', 'was', 'measured', 'using', 'a', 'ne', 'research', 'elisa', 'kit', '(', '$UNK$', 'diagnostics', 'gmbh', ',', 'kiel', ',', 'germany', ')', ',', 'fol-lowing', 'the', 'manufacturer', ""'s"", 'instructions', '.']"	1	4.666666666666667	"['ne', 'tissue', 'content', 'was', 'measured', 'using', 'a', 'ne', 'research', 'elisa', 'kit', '(', '$UNK$', 'diagnostics', 'gmbh', ',', 'kiel', ',', 'germany', ')', ',', 'fol-lowing', 'the', 'manufacturer', ""'s"", 'instructions', '.']"	1	4.666666666666667	100.0	0	2	1	3	0	0	20
